Id,EntityType,Name,PlantDef,X,Y,Width,Height,Angle,FillOverride,StrokeOverride,DatePlanted,AcquiredFrom,TimeAltered,TimeAdded
507c7324-e180-4f2c-8651-383c1d43fbc6,0,,62,730.83755638872458,3340.8172616627376,31.778293999999999,31.102157999999999,0,,,2023-04-23 00:00:00.0000000,Lady at Maku'u Market,2024-09-08 20:27:12.8641482,2023-06-06 20:01:59.8647327
5103ecb9-1521-43e4-a73c-498480e653bd,0,,65,2473.4611768024733,484.36441308957046,35.525837000000003,34.719505496036739,0.54070330658595367,,,2023-03-20 00:00:00.0000000,Plant Group Hawaii,2024-08-12 05:16:35.4942437,2023-04-27 21:22:20.3043187
51425bf9-33bb-45b4-b6e9-16671bd83e8a,0,,167,7953.8010000000004,6128.5117,22.392315,21.818151,0,,,2023-09-12 00:00:00.0000000,Plant Group Hawaii,2024-09-23 20:30:38.0556424,2023-09-17 19:43:37.8240127
51b2a0b7-4524-41c6-be33-6af9d3daedfd,0,,143,657.88660000000027,559.87908600000014,21.694030000000001,21.326333999999999,0,,,2021-01-01 00:00:00.0000000,The farm,2024-08-12 20:24:59.6512765,2023-07-06 22:44:22.4134511
52db2ee5-4e93-48c6-8350-be7ade062039,0,,75,4955.6571013718476,2026.883863771913,16.459407224565439,17.556701039535938,0,,,2022-05-01 00:00:00.0000000,Panaewa Zoo Plant Sale,2023-07-06 22:22:32.4384076,2023-07-06 22:22:29.6964049
52ddadc3-899c-481f-8ebe-2422644af5a4,0,,147,3569.4594999999999,897.59844999999996,27.834060000000001,29.471357000000001,0,,,2023-01-08 00:00:00.0000000,Gift,2024-06-29 07:36:49.9993953,2023-07-06 22:38:07.0246620
53579672-9b93-4b82-b9bc-b498e8d70923,0,,206,3651.2812385441207,1787.8371798612045,26.137250000000002,26.137250000000002,0,,,2024-04-26 00:00:00.0000000,Plant Group Hawaii,2024-08-12 20:27:07.9811517,2024-04-26 21:18:20.6517234
53bfdae9-13e5-4899-89f7-c1028d9a0913,0,,146,3486.1614,661.48315000000002,32.345280000000002,57.226264999999998,0,,,2023-06-14 00:00:00.0000000,Hawaii Farm-to-Car,2024-09-23 21:03:24.3857604,2023-10-25 01:08:06.3080829
5472d92d-2cfa-46a5-bdfa-c3e978686929,0,,78,5565.4640321393754,2530.5113308493997,27.432345374275428,26.335051559303793,0,,,2023-04-03 00:00:00.0000000,Gift,2023-07-06 22:06:58.8130772,2023-07-06 22:06:54.9491224
55c3eab0-b4c0-4536-b959-8d1986b0c6b2,0,,170,1295.2656402537159,4073.8172256419975,25.819305,22.420635105281232,0,,,2023-10-19 00:00:00.0000000,Dean Tahara,2023-10-25 01:32:26.6426095,2023-10-21 18:07:09.4379877
566dcedb-db6e-4ab5-aa3f-0404935dc360,0,,228,8597.6873241431167,7884.5812408172287,20.542203113354844,20.542203113354844,0,,,2024-09-09 00:00:00.0000000,Andy Plantman,2024-09-10 23:01:13.7673210,2024-09-10 23:00:53.0719848
56a7459f-52ef-44bc-9bf1-68f4798227e0,0,,39,1419.3302000000001,444.33202999999997,29.296572000000001,27.901496999999999,0,,,2023-04-04 00:00:00.0000000,The farm,2023-06-06 20:06:48.5517574,2023-05-23 04:13:04.1414264
582cb1e4-b993-4a4f-b297-b823150e5861,0,,174,3136.9929999999999,4833.0820000000003,30.006557000000001,30.006557000000001,0,,,2023-06-18 00:00:00.0000000,Garden Exchange,2024-09-23 20:57:43.0676152,2024-06-18 08:20:36.6166376
58840ea3-ffab-4099-a12b-698612524a2f,0,,46,693.42100000000005,3189.9106000000002,31.531706,31.531706,0,,,2023-05-26 00:00:00.0000000,Plant Group Hawaii,2023-05-31 00:18:37.3446067,2023-05-27 06:47:42.7175033
58ac99fa-3fcb-40ba-993c-a7dd9c5f0f4e,0,,16,5273.5988248613467,2240.729566038407,22.01802216549002,22.01802216549002,0,,,2022-04-23 00:00:00.0000000,Kona,2023-07-06 23:04:54.4091571,2023-07-05 05:28:13.2513385
5a569875-a8a0-416f-a958-eee4baf980e9,0,,75,4888.7221786586169,1968.7272915784499,19.202641761991799,20.299935576963662,0,,,2022-05-01 00:00:00.0000000,Panaewa Zoo Plant Sale,2023-07-06 22:22:28.5262693,2023-07-06 22:22:26.5916782
5c4d28eb-35e2-4ad4-9706-bea079cba98e,0,,129,10000.635,8881.7510000000002,25.237759,24.117159999999998,0,,,2023-01-24 00:00:00.0000000,Yamil Matos,2023-07-23 18:11:04.6270804,2023-07-06 04:11:58.4470112
5c8b2b7f-35ce-49d9-b5aa-35528c415bad,0,,146,3841.6020229246146,1091.5181172199573,18.75246666331941,19.120162088090183,0,,,2023-06-14 00:00:00.0000000,Hawaii Farm-to-Car,2023-07-06 22:31:13.4548917,2023-07-06 22:30:52.4686363
5ce0cac8-17be-4915-b6f9-62364d43cc15,0,,97,6114.2983000000004,2978.0524999999998,24.618908000000001,23.953531000000002,0,,,2022-11-12 00:00:00.0000000,Yamil Matos,2023-07-23 18:05:51.2284758,2023-07-05 17:44:32.9597498
5d0ff40c-4abc-4e6b-949a-551f2040dec3,0,,178,9065.5470000000005,8328.5190000000002,15.969021,15.969021,0,,,2023-10-22 00:00:00.0000000,Yamil Matos,2023-10-25 00:54:21.2183000,2023-07-06 03:59:05.7555667
5d3f7df2-3ce7-40ee-bec2-3fffcb71e4da,0,,123,7342.3964999999998,4341.0316999999995,21.538489999999999,20.319330000000001,0,,,2023-04-24 00:00:00.0000000,Yamil Matos,2023-07-23 18:07:08.8113955,2023-07-05 23:46:49.7319486
5e70edfa-0a85-42d2-b8be-ac3b6769cd93,0,,219,687.21095843010016,523.16135738795447,16.900213950003263,16.900213950003263,0,,,2024-09-09 00:00:00.0000000,Andy Plantman,2024-09-10 23:07:18.0698386,2024-09-10 23:07:10.0556053
60979579-92fb-4911-a855-ce4c4c71e887,0,,194,5170.8298093253288,2293.5513290100603,15.207651459782937,15.207651459782937,0,,,2023-11-25 00:00:00.0000000,Ebay,2024-02-19 07:54:42.9427877,2024-01-21 20:25:34.2964256
610fb87a-af5c-4a13-9826-a69c4524e4c4,0,,78,4988.5600000000004,2082.6799999999998,23.591818,25.237759,0,,,2022-04-04 00:00:00.0000000,Gift,2023-07-05 02:58:19.8860800,2023-07-05 02:53:29.3692476
611f850f-6245-4255-8d1e-22046ecd80b5,0,,222,4356.3383852504685,1684.3859695105107,16.816850533660727,16.816850533660272,0,,,2024-09-09 00:00:00.0000000,Andy Plantman,2024-09-10 23:06:32.1467222,2024-09-10 23:06:22.9511619
61a32aa2-16f0-4bef-bcaf-f6dfc90a44f5,0,,171,7789.4380000000001,6535,50.375667999999997,46.118569999999998,0,,,2023-10-08 00:00:00.0000000,Ili Kupono Gardens,2024-09-23 20:16:20.9834473,2023-10-21 18:16:01.1317245
61c10763-9e53-48c8-8756-131d0de09afb,0,,31,7695.1440000000002,5372.2039999999997,21.672965999999999,21.07094,0,,,2023-02-03 00:00:00.0000000,The Green Escape (Etsy),2024-08-12 05:04:29.7895999,2023-05-31 22:51:58.4482414
61f37df6-e671-4d82-a8d6-5a1cbcadeec9,0,,31,497.38589999999999,481.30817000000002,28.109836999999999,27.32901,0,,,2023-02-03 00:00:00.0000000,The Green Escape (Etsy),2023-07-03 22:43:02.6034871,2023-05-23 03:40:00.7465963
6271327d-97c2-4ef7-bf17-110dfb272d19,0,,136,6520.3135000000002,3193.7640000000001,25.786405999999999,25.786405999999999,0,,,2022-11-13 00:00:00.0000000,Yamil Matos,2023-07-23 18:06:10.5102457,2023-07-06 05:11:21.9104839
62cbae8e-c63e-4fc2-b97a-2bfce4f94a1e,0,,16,4189.5043999999998,1379.8259,32.370167000000002,32.370167000000002,0,,,2022-03-26 00:00:00.0000000,Kona,2023-07-06 23:03:07.7646203,2023-05-23 04:02:59.3297051
6329e015-06f3-42a6-b724-988cf791ed7c,0,,126,8879.3029999999999,8160.2837,25.708259999999999,25.708259999999999,0,,,2023-06-23 00:00:00.0000000,The farm,2023-10-25 00:53:44.4679382,2023-10-22 19:38:00.9222097
640a3742-a907-437b-9848-341058a6f282,0,,172,9652.4920000000002,8734.7129999999997,20.471792000000001,20.471792000000001,0,,,2022-10-18 00:00:00.0000000,That palm guy,2024-09-23 20:18:11.8411974,2023-10-21 18:21:29.2031491
64229fb9-8f2e-4c74-9e66-7d5267f212d8,0,,61,435.65822769723712,2684.8862482705595,33.477310000000003,31.667725000000001,0,,,2023-01-13 00:00:00.0000000,Yamil Matos,2024-06-29 07:43:13.1829937,2023-07-05 01:09:16.9639249
650097cb-0174-4df1-bc4d-c3ac618a449c,0,,37,4117.7606999999998,1382.0685000000001,37.595492999999998,37.595492999999998,0,,,2022-03-19 00:00:00.0000000,Kona,2024-05-19 08:09:33.9135417,2023-05-23 04:32:53.7573933
65411767-b4b0-4b63-bcb2-be1b6d55e408,0,,119,7827.8302331755312,5942.6706207490734,25.329014000000001,26.309805000000001,0,,,2023-01-22 00:00:00.0000000,Yamil Matos,2023-08-02 07:30:18.0825050,2023-07-05 23:32:40.9727972
